ID,cc_cons,account_type,gender,age,Income,Emp_Tenure_Years,Tenure_with_Bank,NetBanking_Flag,card_lim,emi_active,investment,cc_cons_old,dc_cons,cc_count,dc_count,debit_amount,credit_amount,max_credit_amount,debit_count,credit_count
12554,20014.0,0,1,35,1.0,15.0,1,0,430000,1674.09,9509.34,17157.466666666667,13824.666666666666,12.666666666666666,36.333333333333336,42499.43333333333,76576.71,33565.0,43.0,3.3333333333333335
17645,10173.0,0,1,35,2.0,15.0,6,0,127500,13043.34,478260.70999999996,14610.206666666665,712.6666666666666,7.0,18.333333333333332,48883.79,78687.12333333334,42641.333333333336,58.666666666666664,19.666666666666668
7604,16095.0,0,1,55,1.0,24.5,1,1,199999,25375.27,665166.5700000001,10533.206666666667,3941.7033333333334,59.0,28.333333333333332,37303.083333333336,77047.0,25418.0,51.666666666666664,6.0
1590,7707.0,0,0,29,1.0,4.5,6,1,155000,3544.33,349073.05,20206.79333333333,8008.1466666666665,34.666666666666664,4.0,41759.21666666667,122689.27999999998,36125.333333333336,54.666666666666664,24.666666666666668
16556,96408.0,0,1,34,1.0,12.6,4,1,297000,12780.44,576483.8,4642.133333333333,5224.740000000001,65.33333333333333,46.0,60115.84,56441.01,25623.333333333332,42.666666666666664,22.666666666666668
19106,130263.0,0,1,27,1.0,4.9,3,1,150000,5026.5,298092.9,11331.408333333333,1090.4633333333334,24.0,13.333333333333334,40422.80333333334,84657.5,19052.333333333332,16.0,15.666666666666666
10086,113479.0,0,1,32,2.0,4.800000000000001,6,1,187000,1534.93,161153.34999999998,5747.795000000001,2781.7100000000005,5.666666666666667,20.666666666666668,35536.636666666665,94736.66666666667,15460.0,26.333333333333332,21.666666666666668
3045,7463.0,0,1,28,1.0,4.800000000000001,5,0,120000,14689.56,368364.2,32278.530000000002,1714.6666666666667,28.666666666666668,11.333333333333334,38267.71666666667,53621.0,40416.333333333336,55.666666666666664,7.0
17368,5712.0,0,0,67,1.0,42.3,6,1,110000,4583.09,195314.9,17042.456666666665,3028.9666666666667,70.0,6.666666666666667,43284.84666666667,34929.84333333333,16977.0,54.0,25.333333333333332
9756,7647.0,0,1,37,0.0,17.0,4,0,170000,16839.22,273437.1,22156.75,4066.4,32.333333333333336,29.333333333333332,140708.99,61844.426666666666,30354.666666666668,82.66666666666667,18.333333333333332
14772,15896.0,1,1,46,1.0,10.4,5,1,390000,296.29,155006.0,54247.0,6699.166666666667,56.0,28.666666666666668,68110.67,81262.45333333332,16571.666666666668,17.666666666666668,16.666666666666668
16901,140730.0,0,1,38,1.0,12.6,10,1,330000,2391.74,74226.0,8103.253333333333,3905.1666666666665,26.666666666666668,17.333333333333332,30578.52666666667,48666.130000000005,81192.66666666667,29.666666666666668,47.0
678,18331.0,0,0,33,2.0,9.1,7,0,267000,3862.96,1809516.19,8268.506666666666,2884.3333333333335,32.333333333333336,5.0,63975.006666666675,111344.29,63634.10333333333,31.666666666666668,39.333333333333336
11040,12329.0,0,1,62,1.0,29.4,3,1,49999,3362.62,317831.53,10870.16,4534.286666666667,190.66666666666666,22.0,28677.94,308820.4166666667,28389.666666666668,45.333333333333336,3.6666666666666665
1585,222566.0,0,1,29,1.0,9.0,10,1,410000,1945.12,4786186.901,11043.841666666667,4733.136666666666,14.0,71.33333333333333,33187.57,74947.66666666667,157672.19333333333,29.0,20.0
19346,14694.0,0,0,28,1.0,7.2,1,1,403000,21718.02,75163.05,12939.103333333333,7907.5,27.0,18.666666666666668,57473.71333333334,217238.08333333334,28308.0,15.333333333333334,33.666666666666664
7262,3045.0,0,1,66,1.0,23.0,5,1,461000,3593.73,622281.5,11643.483333333332,5457.683333333333,26.333333333333332,20.0,21328.583333333332,152217.68333333332,23185.816666666666,58.0,5.666666666666667
1202,279.0,1,1,55,1.0,24.5,7,0,327000,1893.46,35852.04,9109.353333333333,11626.539999999999,55.0,25.0,74105.71333333333,84991.73666666666,80831.33333333333,29.666666666666668,18.0
7791,14040.0,0,1,60,1.0,4.0,5,1,427000,452.76,1504496.6,22870.24,3669.066666666667,26.0,7.666666666666667,45058.293333333335,20734.333333333332,40302.666666666664,16.0,22.333333333333332
18797,19705.0,0,1,29,1.0,2.7,2,1,124000,7958.53,1569446.35,8402.345,10050.84,68.0,40.333333333333336,37676.253333333334,36743.0,61947.333333333336,20.0,6.333333333333333
8661,24455.0,0,1,63,1.0,17.2,4,1,75000,12397.88,249059.33,8979.676666666666,8275.856666666667,34.666666666666664,39.0,42924.88333333333,89129.0,33475.666666666664,64.66666666666667,1.3333333333333333
17362,10846.0,0,1,30,1.0,7.0,6,0,298000,11084.29,76245.19,10625.15,3366.0833333333335,8.666666666666666,3.6666666666666665,33378.973333333335,145082.91666666666,46602.0,64.33333333333333,4.333333333333333
10693,17352.0,0,1,56,0.0,7.2,2,0,565000,10988.24,238300.11,21479.036666666667,2289.603333333333,2.3333333333333335,8.666666666666666,36857.93,76133.24,151676.96666666667,50.666666666666664,8.0
3905,2774.0,0,1,32,1.0,12.0,4,0,466000,12123.58,1268325.0,3214.6216666666664,10611.496666666666,17.333333333333332,26.333333333333332,34039.56,81110.38666666667,18194.333333333332,32.666666666666664,10.0
3334,9086.0,0,1,62,1.0,25.200000000000003,5,0,70000,8445.94,80580.0,15039.515,6680.2733333333335,40.333333333333336,10.333333333333334,159207.44999999998,344358.97000000003,24812.0,66.0,7.666666666666667
17536,13533.0,0,1,34,0.0,12.6,4,1,289000,17350.88,204252.9,9529.106666666667,4561.07,36.333333333333336,11.0,52636.69333333333,16112.0,67902.66666666667,68.0,18.0
7552,141413.0,0,1,46,2.0,18.2,10,0,525000,38442.24,661007.2,4330.21,3135.66,16.666666666666668,7.0,72798.43333333333,36016.666666666664,11451.0,27.333333333333332,3.3333333333333335
18876,2806.0,0,1,47,1.0,21.6,10,1,408000,7637.51,301967.57,8381.623333333335,1351.3333333333333,25.0,14.666666666666666,46028.44666666666,187231.26333333334,130848.0,79.66666666666667,4.333333333333333
